,rank,name,team,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
70,71,김영관,LG,1루수,2,0,3,0,0,3,0,0,1.000,0,0,0,-
71,71,양원혁,LG,2루수,2,0,3,0,0,0,0,0,-,0,0,0,-
72,71,황목치승,LG,유격수,2,0,3,0,0,1,0,0,1.000,0,0,0,-
73,74,강병의,LG,유격수,1,0,5,1,0,3,1,1,0.800,0,0,0,-
74,74,김영관,LG,3루수,1,1,5,1,0,1,1,0,0.667,0,0,0,-
75,74,김재율,LG,1루수,1,1,7,0,0,4,0,0,1.000,0,0,0,-
76,74,나성용,LG,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
77,74,문선재,LG,우익수,1,0,3,0,0,1,0,0,1.000,0,0,0,-
78,74,박성준,LG,유격수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
79,74,박지규,LG,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
80,74,백창수,LG,우익수,1,1,9,0,0,1,0,0,1.000,0,0,0,-
81,74,백창수,LG,1루수,1,0,1,0,0,0,0,0,-,0,0,0,-
82,74,손주인,LG,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
83,74,안익훈,LG,우익수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
84,74,안익훈,LG,좌익수,1,0,0,0,0,0,0,0,-,0,0,0,-
85,74,양석환,LG,유격수,1,0,1,0,0,0,1,0,1.000,0,0,0,-
86,74,양석환,LG,2루수,1,0,1,0,0,0,0,0,-,0,0,0,-
87,74,이민재,LG,좌익수,1,0,2,0,0,0,0,0,-,0,0,0,-
88,74,이병규,LG,중견수,1,1,4,0,0,2,0,0,1.000,0,0,0,-
89,74,장준원,LG,2루수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
90,74,채은성,LG,1루수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
91,74,히메네스,LG,2루수,1,0,1,0,0,0,0,0,-,0,0,0,-
92,74,히메네스,LG,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
