,rank,name,team,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
68,64,필,KIA,좌익수,8,3,27 1/3,0,0,7,0,0,1.000,0,0,0,-
69,70,신종길,KIA,좌익수,7,0,12 1/3,0,0,3,0,0,1.000,0,0,0,-
70,70,신종길,KIA,1루수,7,1,18,0,0,20,1,2,1.000,0,0,0,-
71,70,오준혁,KIA,중견수,7,2,19,0,0,3,0,0,1.000,0,0,0,-
72,70,윤완주,KIA,2루수,7,3,33,0,0,7,11,4,1.000,0,0,0,-
73,70,이범호,KIA,1루수,7,1,22,0,0,18,6,3,1.000,0,0,0,-
74,70,한기주,KIA,투수,7,0,8 1/3,0,0,0,1,0,1.000,0,0,0,-
75,76,강한울,KIA,2루수,6,0,13,0,0,3,4,0,1.000,0,0,0,-
76,76,김민우,KIA,1루수,6,1,18,1,0,11,1,0,0.923,0,0,0,-
77,76,김준,KIA,투수,6,0,4 1/3,0,0,0,1,0,1.000,0,0,0,-
78,79,김주형,KIA,우익수,5,1,20,0,0,8,0,0,1.000,0,0,0,-
79,79,노수광,KIA,중견수,5,2,19 2/3,0,0,2,0,0,1.000,0,0,0,-
80,79,신창호,KIA,투수,5,0,5 2/3,0,0,1,0,0,1.000,0,0,0,-
81,79,최병연,KIA,3루수,5,0,9,0,0,1,1,0,1.000,0,0,0,-
82,79,최희섭,KIA,1루수,5,2,17,0,0,16,2,3,1.000,0,0,0,-
83,79,황대인,KIA,2루수,5,2,19 1/3,0,0,4,4,1,1.000,0,0,0,-
84,85,김진우,KIA,투수,4,2,13,0,0,2,2,0,1.000,0,0,0,-
85,85,노수광,KIA,우익수,4,0,6,0,0,1,0,0,1.000,0,0,0,-
86,85,이인행,KIA,2루수,4,0,9,0,0,2,4,0,1.000,0,0,0,-
87,85,최병연,KIA,2루수,4,0,5,0,0,1,3,1,1.000,0,0,0,-
88,89,김명찬,KIA,투수,3,0,4,0,0,0,1,1,1.000,0,0,0,-
89,89,김민우,KIA,3루수,3,1,12,0,0,1,1,0,1.000,0,0,0,-
90,89,김주찬,KIA,1루수,3,0,6,0,0,4,0,1,1.000,0,0,0,-
91,89,박기남,KIA,유격수,3,0,4,0,0,0,4,2,1.000,0,0,0,-
92,89,오준혁,KIA,1루수,3,0,5,0,0,6,0,0,1.000,0,0,0,-
93,89,윤완주,KIA,3루수,3,0,4,0,0,0,1,0,1.000,0,0,0,-
94,95,고영우,KIA,중견수,2,0,3,0,0,1,0,0,1.000,0,0,0,-
95,95,김다원,KIA,1루수,2,0,1 1/3,0,0,3,0,0,1.000,0,0,0,-
96,95,노수광,KIA,좌익수,2,0,5,0,0,3,0,0,1.000,0,0,0,-
97,95,이인행,KIA,3루수,2,0,3,1,0,0,1,0,0.500,0,0,0,-
98,95,이종석,KIA,투수,2,0,4,0,0,0,0,0,-,0,0,0,-
99,100,김주형,KIA,유격수,1,0,2,0,0,0,0,0,-,0,0,0,-
100,100,김호령,KIA,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
101,100,김호령,KIA,우익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
102,100,신종길,KIA,중견수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
103,100,오준혁,KIA,우익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
104,100,이범호,KIA,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
105,100,이인행,KIA,1루수,1,0,1,0,0,0,0,0,-,0,0,0,-
106,100,전현태,KIA,2루수,1,0,1,0,0,0,0,0,-,0,0,0,-
107,100,최용규,KIA,1루수,1,0,1,0,0,2,0,0,1.000,0,0,0,-
108,100,황수현,KIA,우익수,1,0,3,0,0,2,0,0,1.000,0,0,0,-
