,p_number,name,salary
0,65931,스튜어트,500000달러
1,63938,해커,600000달러
2,63991,박진우,3200만원
3,61323,이태양,10000만원
4,62966,최금강,9200만원
5,78248,고창성,5000만원
6,63959,임정호,7700만원
7,78352,임창민,17400만원
8,60263,이재학,20000만원
9,75867,김진성,15000만원
10,78366,민성기,3300만원
11,62929,이민호,13500만원
12,64907,강장산,3000만원
13,63914,손정욱,5600만원
14,63950,장현식,2700만원
15,62920,노성호,5500만원
16,64995,배재환,2700만원
17,70820,이승호,7000만원
