,p_number,name,salary,entry_yr,team
121,65610.0,황대인,3000.0,15KIA,KIA
122,70756.0,이범호,65000.0,00한화,KIA
123,71207.0,김원섭,15000.0,01두산,KIA
124,72559.0,신종길,12000.0,02롯데,KIA
125,72303.0,김민우,12000.0,02현대,KIA
126,78629.0,나지완,20000.0,08KIA,KIA
127,78765.0,김다원,7000.0,10한화,KIA
128,78643.0,백용환,6000.0,08KIA,KIA
129,74605.0,김주형,5500.0,04KIA,KIA
130,78666.0,최용규,5000.0,08KIA,KIA
131,71184.0,이성우,6500.0,03상무,KIA
132,65653.0,김호령,6000.0,15KIA,KIA
133,63634.0,이홍구,7000.0,13KIA,KIA
134,61743.0,오준혁,3300.0,11한화,KIA
135,64610.0,강한울,6000.0,14KIA,KIA
136,60648.0,이인행,3000.0,10KIA,KIA
137,64646.0,박찬호,3700.0,14KIA,KIA
138,73602.0,차일목,15000.0,03KIA,KIA
139,62668.0,윤완주,3500.0,12KIA,KIA
140,64602.0,이은총,3000.0,14KIA,KIA
141,64657.0,박준태,3400.0,14KIA,KIA
142,60658.0,최병연,3000.0,15KIA,KIA
143,63636.0,고영우,3900.0,13KIA,KIA
144,77648.0,이호신,3600.0,07KIA,KIA
145,63704.0,노수광,3000.0,14한화,KIA
146,70142.0,김광수,10000.0,00LG,KIA
147,62349.0,김병현,15000.0,99애리조나,KIA
148,78823.0,김준,3200.0,08SK,KIA
149,71255.0,김태영,8800.0,01두산,KIA
150,65643.0,문경찬,2700.0,15KIA,KIA
151,65639.0,박정수,2700.0,15KIA,KIA
152,63638.0,박준표,4500.0,13KIA,KIA
153,60636.0,심동섭,14000.0,10KIA,KIA
154,75620.0,윤석민,125000.0,05KIA,KIA
155,75706.0,전현태,3500.0,05한화,KIA
156,97336.0,최영필,13000.0,97현대,KIA
157,76610.0,한기주,6500.0,06KIA,KIA
158,61666.0,한승혁,7000.0,11KIA,KIA
159,61643.0,홍건희,4500.0,11KIA,KIA
160,65696.0,김명찬,2900.0,15KIA,KIA
161,78823.0,김준,3200.0,08SK,KIA
162,77637.0,양현종,75000.0,07KIA,KIA
163,97336.0,최영필,13000.0,97현대,KIA
164,75620.0,윤석민,125000.0,05KIA,KIA
165,76610.0,한기주,6500.0,06KIA,KIA
166,72641.0,김진우,12000.0,02KIA,KIA
167,73632.0,임준혁,13000.0,03KIA,KIA
168,70142.0,김광수,10000.0,00LG,KIA
169,60636.0,심동섭,14000.0,10KIA,KIA
170,71255.0,김태영,8800.0,01두산,KIA
171,61666.0,한승혁,7000.0,11KIA,KIA
172,65639.0,박정수,2700.0,15KIA,KIA
173,61643.0,홍건희,4500.0,11KIA,KIA
174,63638.0,박준표,4500.0,13KIA,KIA
175,60634.0,임기준,3300.0,10KIA,KIA
176,62349.0,김병현,15000.0,99애리조나,KIA
177,61715.0,유창식,6000.0,11한화,KIA
178,76140.0,신창호,3700.0,06LG,KIA
179,65643.0,문경찬,2700.0,15KIA,KIA
180,65661.0,이종석,2700.0,15KIA,KIA
181,60496.0,김선민,3200.0,15kt,KT
182,73153.0,이대형,30000.0,03LG,KT
183,73113.0,박경수,23000.0,03LG,KT
184,78548.0,장성우,6500.0,08롯데,KT
185,70646.0,김상현,20000.0,01KIA,KT
186,70553.0,박기혁,15000.0,00롯데,KT
187,64004.0,김민혁,4700.0,14kt,KT
188,78892.0,윤요섭,6500.0,08SK,KT
189,77104.0,박용근,4000.0,07LG,KT
190,79453.0,오정복,8000.0,09삼성,KT
191,78517.0,하준호,6000.0,08롯데,KT
192,78753.0,김사연,4500.0,08한화,KT
193,64012.0,송민섭,2700.0,15kt,KT
194,76469.0,모상기,2800.0,06삼성,KT
195,64013.0,이지찬,2800.0,14kt,KT
196,63448.0,김영환,3700.0,14kt,KT
197,79364.0,김종민,3800.0,14kt,KT
198,63088.0,김진곤,3500.0,15kt,KT
199,65040.0,김태훈,3000.0,15kt,KT
200,77462.0,김동명,4000.0,07삼성,KT
201,64006.0,심우준,3500.0,14kt,KT
202,64007.0,문상철,3600.0,14kt,KT
203,64560.0,이창진,2900.0,14롯데,KT
204,64166.0,배병옥,3500.0,14LG,KT
205,64001.0,고영표,4400.0,14kt,KT
206,65048.0,김민수,3200.0,15kt,KT
207,99563.0,김사율,20000.0,99롯데,KT
208,79191.0,배우열,3600.0,09LG,KT
209,64017.0,심재민,4700.0,14kt,KT
210,64041.0,안상빈,3700.0,14kt,KT
211,62537.0,윤여운,2700.0,12롯데,KT
212,60343.0,이해창,2900.0,10넥센,KT
213,77318.0,장시환,8900.0,07현대,KT
214,60264.0,정대현,6300.0,10두산,KT
215,65067.0,조무근,8500.0,15kt,KT
216,65042.0,홍성무,3600.0,15kt,KT
217,75149.0,홍성용,7000.0,05LG,KT
218,72261.0,황덕균,2700.0,02두산,KT
219,65067.0,조무근,8500.0,15kt,KT
220,60848.0,최원재,4600.0,10SK,KT
221,75149.0,홍성용,7000.0,05LG,KT
222,77318.0,장시환,8900.0,07현대,KT
223,65062.0,김재윤,7200.0,09애리조나,KT
224,65042.0,홍성무,3600.0,15kt,KT
225,64041.0,안상빈,3700.0,14kt,KT
226,60264.0,정대현,6300.0,10두산,KT
227,79191.0,배우열,3600.0,09LG,KT
228,75730.0,윤근영,6200.0,05한화,KT
229,64001.0,고영표,4400.0,14kt,KT
230,65048.0,김민수,3200.0,15kt,KT
231,65056.0,엄상백,6000.0,15kt,KT
232,65057.0,이창재,4400.0,15kt,KT
233,64017.0,심재민,4700.0,14kt,KT
234,72261.0,황덕균,2700.0,02두산,KT
235,99563.0,김사율,20000.0,99롯데,KT
236,65060.0,주권,3600.0,15kt,KT
237,65058.0,정성곤,3900.0,15kt,KT
238,74543.0,최대성,8500.0,04롯데,KT
239,63137.0,이윤학,2700.0,14kt,KT
240,64117.0,양원혁,2700.0,14LG,LG
241,62164.0,서상우,6000.0,12LG,LG
242,65115.0,안익훈,4100.0,15LG,LG
243,61108.0,강병의,3000.0,11LG,LG
244,72133.0,박용택,80000.0,02LG,LG
245,60100.0,백창수,4000.0,10LG,LG
246,99606.0,정성훈,50000.0,99해태,LG
247,74823.0,임훈,13000.0,04SK,LG
248,79109.0,오지환,25000.0,09LG,LG
249,61742.0,나성용,3700.0,11한화,LG
250,61102.0,유강남,8100.0,11LG,LG
251,63077.0,황목치승,4000.0,14LG,LG
252,61194.0,이민재,3400.0,12LG,LG
253,64153.0,양석환,7000.0,14LG,LG
254,99810.0,이진영,60000.0,99쌍방울,LG
255,78217.0,김용의,6000.0,08두산,LG
256,79192.0,채은성,5500.0,14LG,LG
257,72456.0,손주인,12000.0,02삼성,LG
258,76100.0,이병규,15600.0,06LG,LG
259,79113.0,문선재,6500.0,09LG,LG
260,97109.0,이병규,80000.0,97LG,LG
261,64115.0,장준원,3000.0,14LG,LG
262,73824.0,최경철,9000.0,03SK,LG
263,65136.0,박지규,2700.0,15LG,LG
264,65120.0,박성준,3000.0,15LG,LG
265,62007.0,김지성,3800.0,12LG,LG
266,79198.0,윤진호,3300.0,09LG,LG
267,76158.0,최승준,4200.0,06LG,LG
268,65132.0,김재성,2700.0,15LG,LG
269,61114.0,김재율,2900.0,11LG,LG
270,60181.0,김지용,4000.0,10LG,LG
271,77147.0,봉중근,30000.0,97애틀란타,LG
272,70839.0,신승현,6000.0,00SK,LG
273,76757.0,유원상,7500.0,06한화,LG
274,71118.0,이동현,60000.0,01LG,LG
275,62463.0,이준형,2800.0,14kt,LG
276,62147.0,조윤준,3000.0,12LG,LG
277,76650.0,진해수,9500.0,06KIA,LG
278,79140.0,최동환,3500.0,09LG,LG
279,75852.0,김선규,6000.0,05SK,LG
280,73117.0,우규민,40000.0,03LG,LG
281,61329.0,윤지웅,12500.0,11넥센,LG
282,60181.0,김지용,4000.0,10LG,LG
283,71118.0,이동현,60000.0,01LG,LG
284,63111.0,류제국,18000.0,01시카고컵스,LG
285,70839.0,신승현,6000.0,00SK,LG
286,77147.0,봉중근,30000.0,97애틀란타,LG
287,61891.0,임정우,12500.0,11SK,LG
288,78148.0,정찬헌,5100.0,08LG,LG
289,76757.0,유원상,7500.0,06한화,LG
290,76650.0,진해수,9500.0,06KIA,LG
291,99152.0,김광삼,5000.0,99LG,LG
292,60146.0,이승현,3700.0,10LG,LG
293,64155.0,임지섭,3500.0,14LG,LG
294,62463.0,이준형,2800.0,14kt,LG
295,74139.0,장진용,5000.0,04LG,LG
296,79140.0,최동환,3500.0,09LG,LG
297,77532.0,손아섭,60000.0,07롯데,Lotte
298,74540.0,강민호,100000.0,04롯데,Lotte
299,71552.0,최준석,40000.0,01롯데,Lotte
300,76509.0,김문호,7000.0,06롯데,Lotte
301,60523.0,정훈,21000.0,10롯데,Lotte
302,76313.0,황재균,50000.0,06현대,Lotte
303,60558.0,오승택,7000.0,10롯데,Lotte
304,64504.0,오윤석,2700.0,15롯데,Lotte
305,77669.0,김주현,3300.0,10롯데,Lotte
306,71562.0,박종윤,16000.0,01롯데,Lotte
307,72546.0,문규현,9000.0,02롯데,Lotte
308,61554.0,김민하,4000.0,11롯데,Lotte
309,64022.0,안중열,4000.0,14kt,Lotte
310,71565.0,이우민,7000.0,01롯데,Lotte
311,76536.0,손용석,3400.0,06롯데,Lotte
312,78850.0,오현근,3000.0,08SK,Lotte
313,78536.0,김대우,3800.0,05상무,Lotte
