,p_number,name,salary
0,95657,임창용,30000만원
1,74630,박근홍,11000만원
2,75268,조현근,4500만원
3,72463,안지만,75000만원
4,74454,윤성환,80000만원
5,61411,심창민,14000만원
6,76455,차우찬,40000만원
7,76355,장원삼,75000만원
8,71851,김건한,6000만원
9,77446,백정현,5500만원
10,72649,신용운,5500만원
11,76461,김기태,4000만원
12,60457,김현우,4500만원
13,99445,권오준,7000만원
14,79440,정인욱,6000만원
15,61457,임현준,3300만원
16,77927,장필준,2800만원
