,name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
0,오장훈,두산,0.0,1,0,0,0,0,-,1,1,0,1,0,2,0,0,2.0,0,0,0,1,0,0,0,0,1,0.00
1,김강률,두산,2.45,16,3,1,0,3,0.750,14 2/3,14,1,10,0,7,5,4,1.64,0,0,3,4,5,0,1,19,16,1.19
2,이현승,두산,2.89,41,3,1,18,2,0.750,46 2/3,45,3,10,2,41,16,15,1.18,0,0,3,30,26,4,6,45,46,0.98
3,허준혁,두산,3.57,16,3,2,0,0,0.600,63,52,7,41,6,45,37,25,1.48,14,3,0,1,0,0,7,83,53,1.57
4,함덕주,두산,3.65,68,7,2,2,16,0.778,61 2/3,52,4,46,2,76,30,25,1.59,0,0,7,10,20,1,5,47,52,0.90
5,유희관,두산,3.94,30,18,5,0,0,0.783,189 2/3,193,23,44,4,126,84,83,1.25,30,18,0,1,0,0,17,208,197,1.06
6,윤명준,두산,3.97,60,4,6,6,7,0.400,68,72,9,30,5,48,33,30,1.5,0,0,4,25,19,1,9,76,68,1.12
7,장원준,두산,4.08,30,12,12,0,0,0.500,169 2/3,182,13,68,14,128,86,77,1.47,30,12,0,1,0,0,18,189,154,1.23
8,이현호,두산,4.19,49,6,1,0,2,0.857,86,83,8,35,4,87,43,40,1.37,7,4,2,11,4,0,6,78,86,0.91
9,노경은,두산,4.47,47,1,4,4,0,0.200,58 1/3,57,6,37,5,41,33,29,1.61,0,0,1,22,10,1,9,70,54,1.30
10,니퍼트,두산,5.1,20,6,5,0,0,0.545,90,104,4,33,4,76,54,51,1.52,16,5,1,0,0,0,7,93,85,1.09
11,양현,두산,5.23,13,0,0,0,0,-,10 1/3,19,2,0,3,7,7,6,1.84,0,0,0,1,0,0,1,10,11,0.91
12,스와잭,두산,5.26,20,5,7,0,1,0.417,92 1/3,110,9,30,4,72,57,54,1.52,17,5,0,2,0,0,7,106,80,1.33
13,오현택,두산,5.3,61,1,3,0,13,0.250,56,59,6,16,4,45,33,33,1.34,0,0,1,7,16,0,7,48,60,0.80
